Time;pH1_001_PV;O2_flow_001.PV;DO1_001.PV;CO2_flow_001.PV;BioR_temp_001.PV;Air_flow_001.PV;BioR_stirring_001.SP;BioOUT_pump_001.SP;BioIN_pump_001.SP;Base_pump_001.SP
20/09/2024 15:45:13.000;6.04;0;102;0.0;23.4;0;0;86;140.0;10.000
20/09/2024 15:47:55.843;;0;;0.0;;0;0;;;
20/09/2024 15:50:02.195;8.05;;;;;;;;;
20/09/2024 15:51:56.067;;;88;;;;;;;
20/09/2024 15:57:55.841;;;;;;;;86;140.0;10.000
20/09/2024 15:59:39.006;;;;;9.5;;;;;
20/09/2024 15:59:44.990;7.29;;;;;;;;;
20/09/2024 15:59:53.015;;;98;;;;;;;
20/09/2024 16:00:03.919;7.28;;;;;;;;;
20/09/2024 16:00:28.126;;;98;;;;;;;
20/09/2024 16:07:28.317;;;;;9.6;;;;;
20/09/2024 16:12:16.129;;;;;;;;;;0.000
20/09/2024 16:12:16.511;;;;59.6;;92;;;;
20/09/2024 16:12:18.243;;;;0.0;;;;;;
20/09/2024 16:12:19.150;;;;;;200;;;;
20/09/2024 16:12:38.648;;;;;;;450;;;
20/09/2024 16:13:03.250;;;100;;;;;;;
20/09/2024 16:16:18.635;7.38;;;;;;;;;
20/09/2024 16:16:32.051;;;96;;;;;;;
20/09/2024 16:47:55.876;;;;;;180;;;;
20/09/2024 16:57:43.243;;;;20.0;;;;;;
20/09/2024 16:59:16.024;;;96;;;;;;;
20/09/2024 16:59:23.224;7.27;;;;;;;;;
20/09/2024 16:59:50.650;;;;;20.9;;;;;
20/09/2024 17:00:31.033;;;;;21.0;;;;;
20/09/2024 17:00:35.238;7.27;;;;;;;;;
20/09/2024 17:04:32.826;;;96;;;;;;;
20/09/2024 17:04:52.649;;;;19.9;;;;;;
20/09/2024 17:09:20.345;7.26;;;;;;;;;
20/09/2024 17:11:52.455;;;;19.5;;;;;;
20/09/2024 17:37:52.634;;;;20.3;;;;;;
20/09/2024 17:47:55.925;;;;20.0;;180;;;;
20/09/2024 17:55:56.674;;;95;;;;;;;
20/09/2024 17:59:15.541;;;95;;;;;;;
20/09/2024 17:59:54.145;;;;;32.3;;;;;
20/09/2024 17:59:58.673;;;;;32.2;;;;;
20/09/2024 17:59:59.667;7.30;;;;;;;;;
20/09/2024 18:00:09.884;;;;;32.3;;;;;
20/09/2024 18:00:40.146;7.31;;;;;;;;;
20/09/2024 18:04:50.898;;;95;;;;;;;
20/09/2024 18:09:22.607;;;;19.7;;;;;;
20/09/2024 18:27:39.653;;;94;;;;;;;
20/09/2024 18:41:42.876;;;;;37.4;;;;;
20/09/2024 18:47:55.935;;;;;;180;;;;
20/09/2024 18:50:32.662;;;;20.4;;;;;;
20/09/2024 18:52:02.677;;;;19.5;;;;;;
20/09/2024 18:53:03.387;;;;20.1;;;;;;
20/09/2024 18:53:56.505;;;95;;;;;;;
20/09/2024 18:56:28.489;;;;;37.0;;;;;
20/09/2024 18:58:35.506;7.37;;;;;;;;;
20/09/2024 19:00:13.495;;;;;36.9;;;;;
20/09/2024 19:00:24.396;7.37;;;;;;;;;
20/09/2024 19:01:11.208;;;95;;;;;;;
20/09/2024 19:06:18.921;;;;;36.8;;;;;
20/09/2024 19:20:23.251;;;;19.9;;;;;;
20/09/2024 19:27:02.786;;;;20.6;;;;;;
20/09/2024 19:27:37.780;;;;;37.1;;;;;
20/09/2024 19:41:14.692;;;94;;;;;;;
20/09/2024 19:47:55.511;;;;;;180;;;;
20/09/2024 19:53:20.108;;;;17.3;;;;;;
20/09/2024 19:53:24.124;;;;20.0;;;;;;
20/09/2024 19:55:19.743;7.38;;;;;;;;;
20/09/2024 19:57:24.419;;;94;;;;;;;
20/09/2024 19:59:53.731;;;;;37.0;;;;;
20/09/2024 20:00:17.645;;;;18.1;;;;;;
20/09/2024 20:01:21.435;;;;;37.1;;;;;
20/09/2024 20:02:07.440;;;94;;;;;;;
20/09/2024 20:16:19.349;7.38;;;;;;;;;
20/09/2024 20:18:10.284;;;;;37.2;;;;;
20/09/2024 20:30:23.810;;;;;36.9;;;;;
20/09/2024 20:40:46.741;;;95;;;;;;;
20/09/2024 20:44:52.855;;;94;;;;;;;
20/09/2024 20:46:27.431;;;;27.1;;;;;;
20/09/2024 20:47:55.553;7.38;;;;;180;;;;
20/09/2024 20:54:56.848;;;;15.0;;;;;;
20/09/2024 20:54:58.571;;;;20.1;;;;;;
20/09/2024 20:57:20.774;;;94;;;;;;;
20/09/2024 20:59:50.978;;;;;37.0;;;;;
20/09/2024 21:00:17.259;;;94;;;;;;;
20/09/2024 21:00:20.276;;;;;37.1;;;;;
20/09/2024 21:00:32.951;;;;17.5;;;;;;
20/09/2024 21:06:56.380;;;94;;;;;;;
20/09/2024 21:08:15.463;;;;;36.9;;;;;
20/09/2024 21:13:07.182;;;;16.2;;;;;;
20/09/2024 21:31:16.562;;;;29.5;;;;;;
20/09/2024 21:47:55.565;7.38;;;;;180;;;;
20/09/2024 21:52:26.884;;;;;37.2;;;;;
20/09/2024 21:58:58.377;;;;;37.0;;;;;
20/09/2024 21:59:19.108;;;;19.9;;;;;;
20/09/2024 21:59:58.723;;;95;;;;;;;
20/09/2024 22:00:19.385;;;;;37.1;;;;;
20/09/2024 22:02:10.108;;;;20.0;;;;;;
20/09/2024 22:03:41.530;;;94;;;;;;;
20/09/2024 22:11:11.442;;;;;36.9;;;;;
20/09/2024 22:19:35.924;;;;;37.1;;;;;
20/09/2024 22:42:45.004;;;;16.3;;;;;;
20/09/2024 22:43:03.005;;;94;;;;;;;
20/09/2024 22:46:25.993;;;95;;;;;;;
20/09/2024 22:47:55.563;7.38;;;;;180;;;;
20/09/2024 22:51:03.137;;;;27.4;;;;;;
20/09/2024 22:53:03.322;;;;19.9;;;;;;
20/09/2024 22:57:36.945;;;95;;;;;;;
20/09/2024 22:59:55.841;;;;;37.0;;;;;
20/09/2024 23:00:03.151;;;;19.8;;;;;;
20/09/2024 23:00:19.830;;;95;;;;;;;
20/09/2024 23:01:02.937;;;;;37.1;;;;;
